time,open,high,low,close,tick_volume,spread,real_volume,utc,jst
1762131600,52320.39,52357.89,52320.39,52357.89,13,1000,0,2025-11-02 23:00:00+00:00,2025-11-03 08:00:00+09:00
1762131660,52352.89,52400.39,52342.89,52400.39,34,1000,0,2025-11-02 23:01:00+00:00,2025-11-03 08:01:00+09:00
1762131720,52400.39,52417.89,52392.89,52402.89,11,1000,0,2025-11-02 23:02:00+00:00,2025-11-03 08:02:00+09:00
1762131780,52405.39,52420.39,52402.89,52410.39,11,1000,0,2025-11-02 23:03:00+00:00,2025-11-03 08:03:00+09:00
1762131840,52412.89,52417.89,52402.89,52417.89,15,1000,0,2025-11-02 23:04:00+00:00,2025-11-03 08:04:00+09:00
1762131900,52417.89,52440.39,52417.89,52437.89,10,1000,0,2025-11-02 23:05:00+00:00,2025-11-03 08:05:00+09:00
1762131960,52437.89,52437.89,52430.39,52437.89,8,1000,0,2025-11-02 23:06:00+00:00,2025-11-03 08:06:00+09:00
1762132020,52445.39,52467.89,52440.39,52467.89,10,1000,0,2025-11-02 23:07:00+00:00,2025-11-03 08:07:00+09:00
1762132080,52465.39,52487.89,52462.89,52480.39,15,1000,0,2025-11-02 23:08:00+00:00,2025-11-03 08:08:00+09:00
1762132140,52480.39,52507.89,52480.39,52502.89,15,1000,0,2025-11-02 23:09:00+00:00,2025-11-03 08:09:00+09:00
1762132200,52502.89,52515.39,52502.89,52510.39,8,1000,0,2025-11-02 23:10:00+00:00,2025-11-03 08:10:00+09:00
1762132260,52510.39,52510.39,52502.89,52502.89,4,1000,0,2025-11-02 23:11:00+00:00,2025-11-03 08:11:00+09:00
1762132320,52500.39,52507.89,52500.39,52500.39,6,1000,0,2025-11-02 23:12:00+00:00,2025-11-03 08:12:00+09:00
1762132380,52500.39,52510.39,52500.39,52510.39,4,1000,0,2025-11-02 23:13:00+00:00,2025-11-03 08:13:00+09:00
1762132440,52510.39,52515.39,52490.39,52490.39,10,1000,0,2025-11-02 23:14:00+00:00,2025-11-03 08:14:00+09:00
1762132500,52490.39,52520.39,52490.39,52520.39,27,1000,0,2025-11-02 23:15:00+00:00,2025-11-03 08:15:00+09:00
1762132560,52520.39,52530.39,52520.39,52530.39,3,1000,0,2025-11-02 23:16:00+00:00,2025-11-03 08:16:00+09:00
1762132620,52530.39,52542.89,52525.39,52530.39,20,1000,0,2025-11-02 23:17:00+00:00,2025-11-03 08:17:00+09:00
1762132680,52530.39,52532.89,52520.39,52520.39,6,1000,0,2025-11-02 23:18:00+00:00,2025-11-03 08:18:00+09:00
1762132740,52520.39,52522.89,52520.39,52522.89,4,1000,0,2025-11-02 23:19:00+00:00,2025-11-03 08:19:00+09:00
1762132800,52520.39,52542.89,52520.39,52542.89,7,1000,0,2025-11-02 23:20:00+00:00,2025-11-03 08:20:00+09:00
1762132860,52547.89,52547.89,52512.89,52517.89,12,1000,0,2025-11-02 23:21:00+00:00,2025-11-03 08:21:00+09:00
1762132920,52520.39,52520.39,52515.39,52520.39,6,1000,0,2025-11-02 23:22:00+00:00,2025-11-03 08:22:00+09:00
1762132980,52520.39,52520.39,52485.39,52485.39,8,1000,0,2025-11-02 23:23:00+00:00,2025-11-03 08:23:00+09:00
1762133040,52485.39,52485.39,52482.89,52482.89,2,1000,0,2025-11-02 23:24:00+00:00,2025-11-03 08:24:00+09:00
1762133100,52482.89,52482.89,52432.89,52432.89,17,1000,0,2025-11-02 23:25:00+00:00,2025-11-03 08:25:00+09:00
1762133160,52430.39,52432.89,52397.89,52400.39,13,1000,0,2025-11-02 23:26:00+00:00,2025-11-03 08:26:00+09:00
1762133220,52400.39,52400.39,52400.39,52400.39,1,1000,0,2025-11-02 23:27:00+00:00,2025-11-03 08:27:00+09:00
1762133280,52400.39,52400.39,52395.39,52397.89,6,1000,0,2025-11-02 23:28:00+00:00,2025-11-03 08:28:00+09:00
1762133340,52397.89,52405.39,52385.39,52402.89,13,1000,0,2025-11-02 23:29:00+00:00,2025-11-03 08:29:00+09:00
1762133400,52402.89,52407.89,52337.89,52367.89,50,1000,0,2025-11-02 23:30:00+00:00,2025-11-03 08:30:00+09:00
1762133460,52370.39,52432.89,52370.39,52375.39,36,1000,0,2025-11-02 23:31:00+00:00,2025-11-03 08:31:00+09:00
1762133520,52377.89,52460.39,52377.89,52437.89,39,1000,0,2025-11-02 23:32:00+00:00,2025-11-03 08:32:00+09:00
1762133580,52440.39,52497.89,52432.89,52495.39,23,1000,0,2025-11-02 23:33:00+00:00,2025-11-03 08:33:00+09:00
1762133640,52495.39,52505.39,52472.89,52472.89,13,1000,0,2025-11-02 23:34:00+00:00,2025-11-03 08:34:00+09:00
1762133700,52472.89,52487.89,52442.89,52445.39,32,1000,0,2025-11-02 23:35:00+00:00,2025-11-03 08:35:00+09:00
1762133760,52442.89,52445.39,52430.39,52440.39,25,1000,0,2025-11-02 23:36:00+00:00,2025-11-03 08:36:00+09:00
1762133820,52440.39,52440.39,52420.39,52420.39,10,1000,0,2025-11-02 23:37:00+00:00,2025-11-03 08:37:00+09:00
1762133880,52420.39,52420.39,52380.39,52380.39,12,1000,0,2025-11-02 23:38:00+00:00,2025-11-03 08:38:00+09:00
1762133940,52377.89,52425.39,52375.39,52415.39,11,1000,0,2025-11-02 23:39:00+00:00,2025-11-03 08:39:00+09:00
1762134000,52420.39,52430.39,52375.39,52390.39,25,1000,0,2025-11-02 23:40:00+00:00,2025-11-03 08:40:00+09:00
1762134060,52387.89,52402.89,52382.89,52402.89,9,1000,0,2025-11-02 23:41:00+00:00,2025-11-03 08:41:00+09:00
1762134120,52402.89,52412.89,52395.39,52400.39,24,1000,0,2025-11-02 23:42:00+00:00,2025-11-03 08:42:00+09:00
1762134180,52400.39,52450.39,52395.39,52445.39,37,1000,0,2025-11-02 23:43:00+00:00,2025-11-03 08:43:00+09:00
1762134240,52445.39,52475.39,52415.39,52415.39,43,1000,0,2025-11-02 23:44:00+00:00,2025-11-03 08:44:00+09:00
1762134300,52415.39,52455.39,52415.39,52455.39,60,1000,0,2025-11-02 23:45:00+00:00,2025-11-03 08:45:00+09:00
1762134360,52465.39,52475.39,52437.89,52450.39,44,1000,0,2025-11-02 23:46:00+00:00,2025-11-03 08:46:00+09:00
1762134420,52450.39,52457.89,52417.89,52437.89,31,1000,0,2025-11-02 23:47:00+00:00,2025-11-03 08:47:00+09:00
